temp,humi,gray,risk
24.49,63.99,0.099,1
22.59,59.25,0.178,0
24.94,50.6,0.081,0
27.57,43.53,0.154,1
22.3,56.98,0.0,0
22.3,53.93,0.232,0
27.74,58.95,0.2,1
25.3,56.35,0.077,0
21.59,60.5,0.299,1
24.63,44.65,0.341,1
21.61,63.17,0.0,1
21.6,51.98,0.086,0
23.73,70.75,0.085,2
17.26,43.11,0.059,2
17.83,67.36,0.324,2
21.31,51.98,0.171,0
19.96,43.49,0.16,1
23.94,45.16,0.0,0
20.28,46.8,0.295,0
18.76,54.24,0.014,1
27.4,55.23,0.209,1
22.32,44.26,0.242,0
23.2,49.76,0.404,1
18.73,71.42,0.004,2
21.37,67.28,0.0,2
23.33,54.36,0.228,0
19.55,50.38,0.47,1
24.13,51.2,0.386,1
21.2,56.14,0.231,0
22.12,39.77,0.126,1
21.19,47.43,0.321,1
28.56,33.31,0.054,2
22.96,53.99,0.271,0
19.83,56.47,0.276,1
25.47,45.17,0.359,1
19.34,65.74,0.614,2
23.63,37.74,0.259,1
17.12,35.36,0.124,2
19.02,52.24,0.196,1
23.59,60.47,0.0,1
25.22,66.84,0.096,2
23.51,45.41,0.139,0
22.65,60.79,0.121,1
22.1,49.61,0.223,0
18.56,48.27,0.077,1
20.84,58.84,0.368,1
21.62,56.52,0.2,0
26.17,34.24,0.199,2
24.03,64.77,0.151,1
17.71,63.8,0.223,2
23.97,43.74,0.324,1
21.84,53.96,0.07,0
20.97,54.94,0.101,0
24.84,52.61,0.154,0
26.09,44.5,0.0,1
25.79,43.28,0.077,0
20.48,49.74,0.129,0
22.07,61.73,0.331,1
23.99,55.44,0.239,0
25.93,46.29,0.229,0
21.56,57.72,0.328,1
22.44,21.51,0.179,2
19.68,61.49,0.259,1
19.41,32.6,0.185,2
25.44,46.38,0.24,0
27.07,38.8,0.113,1
22.78,37.05,0.0,1
26.01,61.61,0.18,1
24.08,45.32,0.413,1
21.06,53.47,0.339,1
24.08,49.53,0.345,1
27.61,54.77,0.385,1
22.89,50.77,0.213,0
27.69,37.17,0.23,1
15.14,59.96,0.107,2
25.47,45.06,0.153,0
23.26,34.43,0.292,2
22.1,45.72,0.381,1
23.28,65.01,0.179,2
17.04,58.5,0.132,2
22.34,46.51,0.2,0
24.07,46.51,0.29,0
27.43,46.78,0.0,1
21.45,70.77,0.0,2
20.57,53.82,0.117,0
21.49,54.3,0.017,0
25.75,60.3,0.124,1
23.99,52.39,0.178,0
21.41,47.41,0.132,0
24.54,48.04,0.418,1
23.29,49.28,0.249,0
25.91,49.63,0.245,0
20.89,57.28,0.293,0
